Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL543B,COL 543B,10.18730/PBEPY,"COL 543B, CUN-330",Arracacha,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,Tocaima,Asomadero,23-09-1969,360,4.5,-74.6333,,,,Pablo Emilio Daza,23-09-1969,Bush,320,Present,Lanceolate,,,,White,27.9,84,5.64,18.6,57.3,67.25,828,244,3.52,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
COL504A,COL 504A,10.18730/PBET$,"COL 504A, TOL-390",Canoa,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,Melgar,Coromandel,21-09-1969,420,4.2,-74.65,,,,Pablo Emilio Daza,21-09-1969,Bush,170,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL487,COL 487,10.18730/PDWF3,"COL 487, TOL-373",Aroma,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Prado,El Jardin,18-09-1969,400,3.6833,-74.8667,,,,Pablo Emilio Daza,18-09-1969,Bush,175,Present,Elliptic-Lanceolate,Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL474,COL 474,10.18730/P9T9J,"COL 474, TOL-360",Conejita,Manihot,esculenta,,,Landrace,1,Colombia,Tolima,Purificacion,El Coto(M.Lemus),17-09-1969,440,3.7833,-74.8667,,,,Pablo Emilio Daza,17-09-1969,Bush,260,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL2,COL 2,10.18730/PDX2P,"CAU-302, COL 2",Algodona,Manihot,esculenta,,,Landrace,0,Colombia,Cauca,Santander De Quilichao,Pedregal,12-05-1969,1100,3.0833,-76.4667,,,,"Pablo Emilio Daza, Victor Manuel Patino",12-05-1969,Bush,150,Absent,Lanceolate,,,,White,28.74,141,5.62,19.52,54.1,65.1,901,414,2.51,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
BRA1017,BRA 1017,10.18730/P9V9D,"BGM 0829, BRA-057576",Itapicuro Pires,Manihot,esculenta,,,Landrace,0,Brazil,Sergipe,Itaporanga D'Ajuda,Loc: Cha Do Sape,,9,-10.9833,-37.3,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1001,BRA 1001,10.18730/PAP2K,"BGM 0686, BRA-056545","Vara So, Vara-So",Manihot,esculenta,,,Landrace,0,Brazil,Espiritu Santo,Castelo,,,100,-20.6,-41.1833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
COL1843,COL 1843,10.18730/P86V0,,,Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,,,,,,265,Present,Lanceolate,,,,White,34.07,158,3.56,21.6,55.7,67.1,635,216,1.79,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA976,BRA 976,10.18730/PC89=,"BGM 0560, BRA-008427",Passarinha I,Manihot,esculenta,,,Landrace,0,Brazil,Pernambuco,Feira Nova,,,154,-7.95,-35.3833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,Absent,Elliptic-Lanceolate,Red,Dark Green,Seven Lobes,,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
RUBXXX-25,RUB XXX- 25,10.18730/PC8AU,,,Manihot,rubricaulis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
VEN327,VEN 327,10.18730/P9VDH,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,180,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
VEN252,VEN 252,10.18730/PD27E,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,145,Absent,Lanceolate,,,,White,39.61,211,3.0,22.66,36.6,66.65,861,258,3.49,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
ARG117,ARG 117,10.18730/P86Y3,IGE131,Catigua,Manihot,esculenta,,,Landrace,0,Argentina,Corrientes,Capital,Corrientes,16-05-1993,,,,,,Argentina,,06-09-2002,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA444-1,FLA 444- 1,10.18730/PDXD~,"4046, BRA-085880",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Goias,Corumba De Goias,,,,-15.8,-48.8333,,,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA449-1,FLA 449- 1,10.18730/PD2BJ,"4118, BRA-102831",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Mato Grosso,Pontes E Lacerda,,,,-14.8667,-59.4333,,,,"Antonio C. Allem, Merideth Bonierbale, Sang Ki Hahn",12-12-1993,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
EPR414-11,EPR 414- 11,10.18730/P90PD,,,Manihot,epruinosa,,,Wild,0,,Minas Gerais,Januaria,,16-02-1995,,-15.2167,-44.2167,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,04-07-1995,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA501-10,FLA 501- 10,10.18730/P9VJP,,,Manihot,esculenta,flabellifolia,,Wild,0,,Tocantis,Barrolandia,,21-05-1994,,-9.5667,-48.55,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1994,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
JNP401-14,JNP 401- 14,10.18730/PC8PB,,,Manihot,janiphoides,,,Wild,0,,Minas Gerais,Porteirinha,,14-02-1995,,-15.6333,-42.9667,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,04-07-1995,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
JNP402-10,JNP 402- 10,10.18730/PC8QC,,,Manihot,janiphoides,,,Wild,0,,Minas Gerais,Capitao Eneas,,15-02-1995,,-16.45,-43.75,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,04-07-1995,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA433-1E,FLA 433- 1E,10.18730/PDXVA,,,Manihot,esculenta,flabellifolia,,Wild,0,,Rondonia,Ariquemes,,27-05-1992,,-9.5667,-63.0833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA441-1I,FLA 441- 1I,10.18730/PBG75,"4024, BRA-085855",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Acre,Rio Branco,,02-06-1992,,-9.6333,-67.6,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA441-1L,FLA 441- 1L,10.18730/PBG86,"4024, BRA-085855",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Acre,Rio Branco,,02-06-1992,,-9.6333,-67.6,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER416-3E,PER 416- 3E,10.18730/PDXZE,,,Manihot,peruviana,,,Wild,0,,,,,29-05-1992,,-10.1833,-65.2833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER416-3I,PER 416- 3I,10.18730/PBG97,,,Manihot,peruviana,,,Wild,0,,,,,29-05-1992,,-10.1833,-65.2833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER415-4F,PER 415- 4F,10.18730/P87GN,"4015, BRA-086053",,Manihot,peruviana,,,Wild,0,Brazil,,,,29-05-1992,,-9.9167,-65.3,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER495,PER 495,10.18730/PDK73,7463,Wellomam,Manihot,esculenta,,,Landrace,0,Peru,Pasco,San Fco De Pichanaz,Kms: 2,04-07-1986,500,-10.4833,-75.0667,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,340,Absent,Elliptic-Lanceolate,,,,White,25.14,129,11.27,21.25,40.3,66.45,658,190,3.19,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER490,PER 490,10.18730/P8P6A,7447,Shiwiam,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Azulis,Kms: 1,03-07-1986,500,-10.4833,-75.0667,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,225,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CTHXXX-168,CTH XXX- 168,10.18730/PBY24,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER475,PER 475,10.18730/PACC5,7424,Potchinroman,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Yunculmas,Kms: 19,01-07-1986,700,-10.5833,-75.0833,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,325,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
PER473,PER 473,10.18730/PCQ9$,7422,,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Cacazu,,30-06-1986,900,-10.65,-75.1,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,400,Absent,Elliptic-Lanceolate,,,,White,27.06,55,1.5,18.5,32.0,66.65,728,219,3.85,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
PER460,PER 460,10.18730/P8P9D,7408,Macaronoyaret Embr,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Cacazu,Kms: 3,30-06-1986,900,-10.65,-75.1,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,350,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
PER450,PER 450,10.18730/P7X6R,UNPRG 156,Yuca Amarilla,Manihot,esculenta,,,Landrace,0,Peru,San Martin,,Kms: 3,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,Bush,220,Present,Elliptic-Lanceolate,,,,Cream,37.99,93,1.76,19.84,48.3,63.3,864,376,3.94,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER454,PER 454,10.18730/PB6HW,UNPRG 167,Umashina Blanca,Manihot,esculenta,,,Landrace,0,Peru,San Martin,,Kms: 3,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,Bush,215,Present,Elliptic-Lanceolate,,,,White,33.88,75,2.3,21.35,49.1,64.95,743,278,2.9,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER455,PER 455,10.18730/P8PBF,7401,Cheviwam,Manihot,esculenta,,,Landrace,0,Peru,Junin,El Palmar,Kms: 3,28-06-1986,1700,-10.75,-75.1333,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,Bush,335,Absent,Elliptic-Lanceolate,,,,Cream,23.53,34,4.8,19.31,21.0,64.7,879,339,3.52,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
PER443,PER 443,10.18730/P9HJ=,UNPRG 149,Huanuque$A,Manihot,esculenta,,,Landrace,0,Peru,San Martin,,Kms: 3,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,Bush,230,Absent,Elliptic-Lanceolate,,,,White,30.54,281,4.1,21.02,43.1,66.25,699,321,2.02,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER441,PER 441,10.18730/P8PEJ,UNPRG 146,Shilpi,Manihot,esculenta,,,Landrace,0,Peru,Huanuco,,Kms: 3,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,Bush,230,Present,Straight or Linear,Red,Dark Green,Five Lobes,White,42.37,77,1.22,18.82,46.2,63.85,975,391,2.57,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER425,PER 425,10.18730/PCQBU,UNPRG 125,C#.Sd.371-69,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,230,Absent,Lanceolate,,,,White,27.53,56,5.2,20.01,51.8,64.25,914,353,3.85,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
PER429,PER 429,10.18730/PBY68,UNPRG 63,Valenka,Manihot,esculenta,,,Landrace,0,Peru,Lambayeque,Chiclayo,,,,-6.7833,-79.7833,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,Bush,255,Present,Elliptic-Lanceolate,Red,Dark Green,Seven Lobes,White,41.55,83,1.7,22.4,42.2,63.55,1076,368,3.65,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
PER418,PER 418,10.18730/PDKHD,UNPRG 117,Tanganero,Manihot,esculenta,,,Landrace,0,Peru,Cuzco,Quillabamba,,,,-12.9,-72.7333,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,245,Present,Lanceolate,Green,Dark Green,Five Lobes,White,29.51,267,2.82,19.35,49.6,63.85,829,263,3.88,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER419,PER 419,10.18730/PDKJE,UNPRG 118,Negra Wo,Manihot,esculenta,,,Landrace,0,Peru,Huanuco,Tingo Maria,,,,-9.15,-75.9333,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,190,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
PER421,PER 421,10.18730/PBY79,UNPRG 121,Blanca Huacho T-2,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,220,Present,Lanceolate,,,,White,29.45,58,2.51,21.2,36.1,63.8,811,337,3.65,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
MEX86,MEX 86,10.18730/P9BY3,,,Manihot,esculenta,,,Landrace,1,Mexico,Tabasco,Huimanguillo,,,50,17.8167,-93.4,,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",Mexico,,01-12-1987,,235,Present,Lanceolate,,,,White,37.2,209,3.24,20.11,41.1,66.1,820,280,3.49,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
GUA53,GUA 53,10.18730/PCJM~,587,Yuca,Manihot,esculenta,,,Landrace,0,Guatemala,Peten,Dolores,Yaltutu-Sabaneta Kms: 8,23-08-1983,420,16.5833,-89.4667,Ciatcas-0120,INSTITUTO DE CIENCIA Y TECNOLOGIA AGROPECUARIA,Guatemala,,09-09-1984,,220,Present,Obovate-Lanceolate,Green,Dark Green,Seven Lobes,White,25.37,124,5.59,23.1,42.7,67.15,854,358,2.25,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
GUA40,GUA 40,10.18730/P8HPE,452,Yuca,Manihot,esculenta,,,Landrace,0,Guatemala,Izabal,Los Amates,Quirigua Kms: 10,30-05-1983,80,15.25,-89.1,Ciatcas-0120,INSTITUTO DE CIENCIA Y TECNOLOGIA AGROPECUARIA,Guatemala,,09-09-1984,,215,Absent,Elliptic-Lanceolate,,,,White,30.72,296,4.95,18.54,49.6,67.55,799,314,2.25,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA754,BRA 754,10.18730/P9C49,BRA-069299,Tubarao I,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,330,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA760,BRA 760,10.18730/PCJQU,BRA-069361,Joacaba,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,185,Present,Lanceolate,,,,White,33.59,891,4.48,18.88,43.1,64.85,736,360,2.31,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
BRA388,BRA 388,10.18730/PA72M,BRA-061581,Cambara,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,195,Present,Lanceolate,,,,White,33.72,100,2.9,20.04,40.8,63.7,730,187,3.85,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
CTHXXX-151,CTH XXX- 151,10.18730/P9C6B,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA32,BRA 32,10.18730/PDDE3,,Gualo,Manihot,esculenta,,,Landrace,0,Brazil,Sao Paulo,Sao Paulo,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,225,Absent,Lanceolate,Red,Dark Green,,White,41.31,29,1.52,16.85,51.0,62.75,830,361,3.13,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER178,PER 178,10.18730/PA75Q,,Chaucha Blanca I,Manihot,esculenta,,,Landrace,1,Peru,,Pucayacu,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,240,Present,Elliptic-Lanceolate,,,,White,28.67,107,5.6,24.2,17.25,65.8,722,189,3.26,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER185,PER 185,10.18730/P9C9E,,Eeat 3,Manihot,esculenta,,,Landrace,0,Peru,Tocache,Mantension,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,265,Absent,Elliptic-Lanceolate,,,,White,38.12,206,3.0,21.88,49.6,66.45,901,358,2.9,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER325,PER 325,10.18730/PA7AW,,,Manihot,esculenta,,,Landrace,1,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,250,Absent,Lanceolate,,,,White,35.14,138,4.5,22.15,21.0,67.4,760,283,2.51,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER271,PER 271,10.18730/PA7BX,,Cog.Moradaferre#Af,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,345,Absent,Lanceolate,,,,White,24.43,237,8.9,20.69,23.75,64.75,772,312,3.55,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
BRA789,BRA 789,10.18730/P8HSH,"BGM 0274, BRA-003751",Grande (Aipim),Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Valencia,,,,-13.3667,-39.1,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO DE PESQUISA AGROPECUARIA DOS CERRADOS,Brazil,,01-07-1983,,185,Present,Lanceolate,,,,White,29.92,444,4.23,20.62,49.7,65.65,628,283,2.48,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
FLAXXX-14,FLA XXX- 14,10.18730/PDDJ7,,,Manihot,esculenta,flabellifolia,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1276,BRA 1276,10.18730/PDDM9,"BGM 0968, BRA-101427","Umbigudinha, Umbigudinha(Im-187",Manihot,esculenta,,,Landrace,0,Brazil,Amazonas,Manaus,Km 32 Da Rod-Am,,92,-3.1,-60.0167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,11-09-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1409,BRA 1409,10.18730/PCJW4,"BGM 0510, BRA-008991",Branquinha,Manihot,esculenta,,,Landrace,0,Brazil,Minas Gerais,Divino,,,660,-20.6,-42.1333,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,19-10-1993,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1147,BRA 1147,10.18730/PBSTG,"BGM 0871, BRA-014443, CM 342- 55","Cm 342- 55, Cm 342-55",Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Cali,Ciat,,915,3.4333,-77.5,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,Present,Lanceolate,Red,Dark Green,Seven Lobes,,28.25,433,5.31,23.22,26.7,66.65,762,221,3.32,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
COL454,COL 454,10.18730/PBEWU,"COL 454, TOL-345",Aparecida,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Alvarado,El Paraiso,16-09-1969,670,4.5,-74.9,,,,Victor Manuel Patino,16-09-1969,Bush,205,Present,Lanceolate,,,,White,23.56,75,13.0,20.99,32.3,64.2,721,134,4.14,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,100,Cesar Humberto Ocampo Nahar
COL456,COL 456,10.18730/PBEX0,"COL 456, TOL-347",Piel Roja,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Libano,El Eden(S.Ossa),17-09-1969,1310,4.8667,-75.05,,,,"Luis Lopez, Victor Manuel Patino",17-09-1969,Bush,260,Absent,Lanceolate,,,,White,29.55,48,2.59,20.06,46.7,64.3,764,294,2.35,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL463,COL 463,10.18730/PC74=,"COL 463, TOL-354",Chirosa,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Falan,C.Bustos,18-09-1969,850,5.0833,-74.8667,,,,"Luis Lopez, Victor Manuel Patino",18-09-1969,Bush,215,Present,Lanceolate,,,,White,32.98,447,2.26,22.08,44.0,65.65,866,447,2.18,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL416,COL 416,10.18730/PAN9Z,"COL 416, TOL-307",Santandereana,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Chaparral,Fernando Cedeno,15-08-1969,1000,3.65,-75.4667,,,,Victor Manuel Patino,15-08-1969,Bush,,,,,,,,25.39,140,3.59,22.23,46.6,64.5,645,282,2.12,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
